"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P1","ds004504__EC","AD_vs_CN",19,"AD","CN",65,27,10,19,9,0.569230769230769,0.53760162601626,0.547413793103448,0.103640435431291,0.58695652173913,0.75,0.658536585365854,36,0.526315789473684,0.344827586206897,0.416666666666667,29
"P1","ds004504__EC","AD_vs_CN",20,"AD","CN",65,28,8,21,8,0.553846153846154,0.50718954248366,0.526819923371648,0.0618984460590173,0.571428571428571,0.777777777777778,0.658823529411765,36,0.5,0.275862068965517,0.355555555555556,29
"P1","ds004504__EC","AD_vs_FTD",1,"AD","FTD",59,32,4,19,4,0.610169491525424,0.496848350018539,0.531400966183575,0.0894660150599945,0.627450980392157,0.888888888888889,0.735632183908046,36,0.5,0.173913043478261,0.258064516129032,23
"P1","ds004504__EC","AD_vs_FTD",2,"AD","FTD",59,34,4,19,2,0.644067796610169,0.519953506392871,0.559178743961353,0.190984159312376,0.641509433962264,0.944444444444444,0.764044943820225,36,0.666666666666667,0.173913043478261,0.275862068965517,23
"P1","ds004504__EC","AD_vs_FTD",3,"AD","FTD",59,30,5,18,6,0.593220338983051,0.504201680672269,0.52536231884058,0.0635209757560549,0.625,0.833333333333333,0.714285714285714,36,0.454545454545455,0.217391304347826,0.294117647058824,23
"P1","ds004504__EC","AD_vs_FTD",4,"AD","FTD",59,33,1,22,3,0.576271186440678,0.3996743996744,0.480072463768116,-0.0773192141033858,0.6,0.916666666666667,0.725274725274725,36,0.25,0.0434782608695652,0.0740740740740741,23
"P1","ds004504__EC","AD_vs_FTD",5,"AD","FTD",59,30,6,17,6,0.610169491525424,0.532874354561102,0.547101449275362,0.114140529339346,0.638297872340426,0.833333333333333,0.72289156626506,36,0.5,0.260869565217391,0.342857142857143,23
"P1","ds004504__EC","AD_vs_FTD",6,"AD","FTD",59,29,5,18,7,0.576271186440678,0.492254733218589,0.511473429951691,0.027803462274969,0.617021276595745,0.805555555555556,0.698795180722892,36,0.416666666666667,0.217391304347826,0.285714285714286,23
"P1","ds004504__EC","AD_vs_FTD",7,"AD","FTD",59,32,4,19,4,0.610169491525424,0.496848350018539,0.531400966183575,0.0894660150599945,0.627450980392157,0.888888888888889,0.735632183908046,36,0.5,0.173913043478261,0.258064516129032,23
"P1","ds004504__EC","AD_vs_FTD",8,"AD","FTD",59,32,5,18,4,0.627118644067797,0.528343023255814,0.553140096618358,0.144165468240344,0.64,0.888888888888889,0.744186046511628,36,0.555555555555556,0.217391304347826,0.3125,23
"P1","ds004504__EC","AD_vs_FTD",9,"AD","FTD",59,33,4,19,3,0.627118644067797,0.508333333333333,0.545289855072464,0.136614061558742,0.634615384615385,0.916666666666667,0.75,36,0.571428571428571,0.173913043478261,0.266666666666667,23
"P1","ds004504__EC","AD_vs_FTD",10,"AD","FTD",59,35,1,22,1,0.610169491525424,0.416344086021505,0.507850241545894,0.0423131890384941,0.614035087719298,0.972222222222222,0.752688172043011,36,0.5,0.0434782608695652,0.08,23
"P1","ds004504__EC","AD_vs_FTD",11,"AD","FTD",59,33,1,22,3,0.576271186440678,0.3996743996744,0.480072463768116,-0.0773192141033858,0.6,0.916666666666667,0.725274725274725,36,0.25,0.0434782608695652,0.0740740740740741,23
"P1","ds004504__EC","AD_vs_FTD",12,"AD","FTD",59,29,4,19,7,0.559322033898305,0.462885154061625,0.489734299516908,-0.0257108711393556,0.604166666666667,0.805555555555556,0.69047619047619,36,0.363636363636364,0.173913043478261,0.235294117647059,23
"P1","ds004504__EC","AD_vs_FTD",13,"AD","FTD",59,31,3,20,5,0.576271186440678,0.453096032628847,0.495772946859903,-0.012043502027307,0.607843137254902,0.861111111111111,0.712643678160919,36,0.375,0.130434782608696,0.193548387096774,23
"P1","ds004504__EC","AD_vs_FTD",14,"AD","FTD",59,34,2,21,2,0.610169491525424,0.447700447700448,0.515700483091787,0.0609181686875161,0.618181818181818,0.944444444444444,0.747252747252747,36,0.5,0.0869565217391304,0.148148148148148,23
"P1","ds004504__EC","AD_vs_FTD",15,"AD","FTD",59,28,5,18,8,0.559322033898305,0.480352303523035,0.497584541062802,-0.00568452565617925,0.608695652173913,0.777777777777778,0.682926829268293,36,0.384615384615385,0.217391304347826,0.277777777777778,23
"P1","ds004504__EC","AD_vs_FTD",16,"AD","FTD",59,33,1,22,3,0.576271186440678,0.3996743996744,0.480072463768116,-0.0773192141033858,0.6,0.916666666666667,0.725274725274725,36,0.25,0.0434782608695652,0.0740740740740741,23
"P1","ds004504__EC","AD_vs_FTD",17,"AD","FTD",59,33,3,20,3,0.610169491525424,0.474234792716001,0.523550724637681,0.0760039001345171,0.622641509433962,0.916666666666667,0.741573033707865,36,0.5,0.130434782608696,0.206896551724138,23
"P1","ds004504__EC","AD_vs_FTD",18,"AD","FTD",59,30,6,17,6,0.610169491525424,0.532874354561102,0.547101449275362,0.114140529339346,0.638297872340426,0.833333333333333,0.72289156626506,36,0.5,0.260869565217391,0.342857142857143,23
"P1","ds004504__EC","AD_vs_FTD",19,"AD","FTD",59,33,2,21,3,0.593220338983051,0.438095238095238,0.501811594202899,0.00634489156355734,0.611111111111111,0.916666666666667,0.733333333333333,36,0.4,0.0869565217391304,0.142857142857143,23
"P1","ds004504__EC","AD_vs_FTD",20,"AD","FTD",59,28,3,20,8,0.525423728813559,0.42156862745098,0.454106280193237,-0.114942718034766,0.583333333333333,0.777777777777778,0.666666666666667,36,0.272727272727273,0.130434782608696,0.176470588235294,23
"P1","ds004504__EC","CN_vs_FTD",1,"FTD","CN",52,6,26,3,17,0.615384615384615,0.548611111111111,0.578710644677661,0.206666887861277,0.666666666666667,0.260869565217391,0.375,23,0.604651162790698,0.896551724137931,0.722222222222222,29
"P1","ds004504__EC","CN_vs_FTD",2,"FTD","CN",52,5,25,4,18,0.576923076923077,0.503472222222222,0.539730134932534,0.104317571968073,0.555555555555556,0.217391304347826,0.3125,23,0.581395348837209,0.862068965517241,0.694444444444445,29
"P1","ds004504__EC","CN_vs_FTD",3,"FTD","CN",52,3,24,5,20,0.519230769230769,0.425541316836058,0.479010494752624,-0.0577861529362658,0.375,0.130434782608696,0.193548387096774,23,0.545454545454545,0.827586206896552,0.657534246575343,29
"P1","ds004504__EC","CN_vs_FTD",4,"FTD","CN",52,6,25,4,17,0.596153846153846,0.53393085787452,0.561469265367316,0.154926707097258,0.6,0.260869565217391,0.363636363636364,23,0.595238095238095,0.862068965517241,0.704225352112676,29
